imdb_title_id,title,year,genre,duration,avg_vote
tt0248924,Jebiga,2000,Comedy,90,6.9
tt0249172,The Suicide Club,2000,Drama,89,6
tt0249542,Goebbels und Geduldig,2001,"Comedy, War, Drama",90,6
tt0249893,The Price of Milk,2000,"Comedy, Drama, Fantasy",87,6.7
tt0249947,Seitsemän laulua tundralta,2000,"Drama, History",90,6.4
tt0250081,Storytelling,2001,"Comedy, Drama, Romance",87,6.8
tt0250292,Cheats,2002,Comedy,86,6.1
tt0250625,Way Off Broadway,2001,Drama,87,6.5
tt0250638,PTU,2003,"Crime, Drama, Thriller",88,6.9
tt0250837,Der Überfall,2000,"Comedy, Crime, Drama",84,6.7
tt0251031,Contenders serie 7,2001,"Comedy, Thriller",86,6.5
tt0251736,La casa dei 1000 corpi,2003,Horror,89,6.1
tt0251797,Leo,2000,"Drama, Thriller",86,6.1
tt0253126,High Heels and Low Lifes,2001,"Action, Comedy, Drama",86,6.2
tt0253225,Mademoiselle,2001,"Comedy, Drama, Romance",85,6.5
tt0253586,Revolution #9,2001,Thriller,90,6.5
tt0253798,Out Cold,2001,"Comedy, Sport",89,6.4
tt0254199,CQ,2001,"Drama, Comedy, Sci-Fi",88,6.2
tt0254749,Sanam,2000,Drama,88,6.4
tt0255094,Il cerchio,2000,Drama,90,7.4
tt0255321,Liam,2000,Drama,90,6.9
tt0255589,L'isola,2000,"Drama, Thriller",90,7
tt0256627,Azzurro,2000,Drama,84,6.7
tt0257245,Une jeune fille à la fenêtre,2001,Drama,90,7.1
tt0258100,Run Ronnie Run,2002,Comedy,86,6.3
tt0259340,Grégoire Moulin contre l'humanité,2001,"Comedy, Romance",90,7
tt0260193,La moitié gauche du frigo,2000,Comedy,90,7
tt0260594,Íslenski draumurinn,2000,"Comedy, Sport",90,7
tt0260910,Fortuna,2000,Comedy,85,6.1
tt0260992,Juliet in love,2000,"Drama, Romance",89,7.1
tt0261125,A War Named Desire,2000,"Action, Romance, Thriller",89,6.6
tt0261546,Las aventuras de Dios,2000,"Drama, Fantasy",84,6.1
tt0262196,19,2000,"Comedy, Drama",83,7.1
tt0262210,Adanggaman,2000,Drama,90,6.9
tt0262432,George Washington,2000,Drama,89,7.3
tt0262690,Pismo do Amerika,2000,Drama,90,7.5
tt0263328,El factor Pilgrim,2000,"Comedy, Crime, Drama",87,6
tt0263366,De fûke,2000,"Drama, War",90,6.8
tt0263488,Jeepers Creepers - Il canto del diavolo,2001,"Horror, Mystery",90,6.2
tt0264319,Drift,2001,Drama,89,6.2
tt0264944,Los niños invisibles,2001,"Comedy, Drama",90,6.9
tt0265274,Landysh serebristyy,2000,"Comedy, Musical, Romance",88,6.5
tt0266078,Yolngu Boy,2001,"Adventure, Drama",88,6.5
tt0266437,DMB,2000,Comedy,90,7.5
tt0266915,Colpo grosso al drago rosso - Rush Hour 2,2001,"Action, Comedy, Crime",90,6.6
tt0267129,Yamakasi - I nuovi samurai,2001,"Action, Drama, Crime",90,6.2
tt0268917,Amatørene,2001,"Comedy, Crime, Drama",88,6.3
tt0269341,Un gioco per due,2001,"Comedy, Romance",90,6.2
tt0269389,Jalla! Jalla!,2000,"Comedy, Drama, Romance",88,6.7
tt0269483,Stella solitaria,2002,"Comedy, Crime",88,6.1
tt0269969,Tôkyô gomi onna,2000,"Adventure, Comedy, Romance",88,6.7
tt0270197,American Gun,2002,Drama,89,6.3
tt0270259,The Business of Strangers,2001,"Drama, Thriller",84,6.3
tt0270487,MacArthur Park,2001,"Action, Drama",86,6.1
tt0270500,Mashehu Totali,2000,"Adventure, Romance",83,6.9
tt0270969,Gipusu,2000,Drama,83,6.1
tt0271003,Ikíngut,2000,"Action, Adventure, Drama",90,6.3
tt0271259,Welcome to Collinwood,2002,"Comedy, Crime",86,6.4
tt0271637,Met grote blijdschap,2001,Drama,90,7.1
tt0273253,Haiku Tunnel,2001,Comedy,88,6.2
tt0273544,Domani,2001,Drama,88,6.5
tt0273833,Mongoland,2001,"Comedy, Drama, Romance",84,6.6
tt0273840,Moszkva tér,2001,"Comedy, Drama, Romance",88,7.8
tt0274166,Johnny English,2003,"Action, Adventure, Comedy",89,6.2
tt0274708,Passing Stones,2001,Comedy,90,6.9
tt0275719,Tape,2001,Drama,86,7.3
tt0275847,Lilo & Stitch,2002,"Animation, Adventure, Comedy",85,7.2
tt0276110,La storia di Erika e Klaus Mann,2000,"Biography, Drama",85,6.3
tt0277092,Latitude Zero,2001,Drama,85,6.5
tt0277171,Ho incontrato Jimi Hendrix,2003,"Comedy, Drama, Music",90,6.4
tt0277578,Anita no perd el tren,2001,"Comedy, Drama",89,6.3
tt0277607,Blagajnica hoce ici na more,2000,Comedy,86,6.1
tt0277615,Bug,2002,Comedy,86,7
tt0277919,Nebo sateliti,2000,"Drama, Fantasy, War",85,6.3
tt0278493,I Am Josh Polonski's Brother,2001,Drama,87,6.7
tt0278554,Mars Turkey,2001,"Comedy, Crime, Drama",90,7.1
tt0279064,Elling,2001,"Comedy, Drama",89,7.5
tt0279231,Minouche la gatta,2001,"Comedy, Family, Fantasy",86,6.8
tt0279248,Munje!,2001,Comedy,90,7.9
tt0279494,Vertiges de l'amour,2001,Comedy,84,6.1
tt0279765,De la calle,2001,Drama,84,7
tt0279783,Domésticas: O Filme,2001,"Comedy, Drama",85,7.1
tt0280015,Nadie te oye: Perfume de violetas,2001,Drama,90,7.1
tt0280933,Mein langsames Leben,2001,Drama,85,6.6
tt0281749,Criss Cross,2001,"Crime, Thriller",88,6.1
tt0282129,Rosarigasinos,2001,"Comedy, Drama",90,6.6
tt0282515,Gangsters,2002,"Action, Crime, Drama",90,6.4
tt0282526,Giorni,2001,Drama,83,6
tt0282744,Mike Bassett: England Manager,2001,"Comedy, Sport",89,6.9
tt0282917,Rok dábla,2002,"Comedy, Drama, Fantasy",88,7.3
tt0283084,Tuck everlasting: Vivere per sempre,2002,"Drama, Family, Fantasy",90,6.6
tt0283269,Boomerang,2001,Comedy,87,7.3
tt0283323,Down and Out with the Dolls,2001,"Comedy, Music",88,6.6
tt0283366,Gypsy Woman,2001,Romance,84,6
tt0283383,Herencia,2001,Drama,90,7.1
tt0283422,Ritorno a casa,2001,"Comedy, Drama",90,6.9
tt0283431,Viaggio a Kandahar,2001,"Biography, Drama, War",85,6.8
tt0283469,Martin & Orloff,2002,Comedy,87,6.6
tt0283476,"Mercano, el marciano",2002,"Animation, Comedy, Sci-Fi",87,6.6
tt0284217,1 na 1,2002,Drama,90,6.7
tt0284229,Karmen Geï,2001,"Musical, Romance, Drama",86,6
tt0284381,El palo,2001,Comedy,87,6.1
tt0284478,Charlotte Sometimes,2002,"Drama, Romance",85,6.5
tt0284492,Syostry,2001,"Crime, Drama",83,7.1
tt0284494,Skins,2002,"Crime, Drama",84,7.1
tt0284631,Walking on Water,2002,Drama,90,6.4
tt0284837,Ali G Indahouse,2002,Comedy,85,6.2
tt0285300,Loenatik - De moevie,2002,"Comedy, Family",90,6.8
tt0285534,Dunsmore,2003,Drama,89,6.5
tt0285566,Folk flest bor i Kina,2002,"Drama, Comedy",85,6.9
tt0285848,Anyangde guer,2001,Drama,84,6.8
tt0285874,Le parole di mio padre,2001,Drama,90,6.7
tt0286058,Secret Passage,2004,Drama,90,6.3
tt0286560,Copacabana,2001,"Comedy, Drama",90,6.3
tt0286915,Duct Tape Forever,2002,Comedy,90,6.2
tt0287364,La chatte à deux têtes,2002,Drama,90,6
tt0287641,Pól serio,2000,"Comedy, Sci-Fi",85,6.2
tt0287708,Slogans,2001,"Comedy, Drama",90,7.3
tt0288491,Czesc Tereska,2001,Drama,86,7
tt0288838,"Taxi, un encuentro",2001,Drama,90,6.6
tt0288861,Van God los,2003,"Crime, Drama, Thriller",83,7.2
tt0289074,Asphalt Zahov,2000,"Drama, Romance",87,6.6
tt0289076,At klappe med een hånd,2001,Comedy,85,6.5
tt0289320,Marfa si banii,2001,"Drama, Thriller",90,7.3
tt0290329,Visitor Q,2001,"Comedy, Drama, Horror",84,6.6
tt0290641,H3,2001,Drama,88,6.5
tt0290867,La spagnola,2001,"Comedy, Drama",87,6.2
tt0291183,Frágil Como o Mundo,2001,"Drama, Romance",90,7
tt0291213,Big girls don't cry - La vita comincia oggi,2002,Drama,87,6.9
tt0291350,Millennium Actress,2001,"Animation, Drama, Fantasy",87,7.9
tt0291507,Taxi Para Tres,2001,"Crime, Drama, Thriller",90,6.9
tt0291535,Un onesto trafficante,2002,"Crime, Thriller",86,7.1
tt0292066,Lan Yu,2001,"Drama, Romance",86,7.1
tt0292459,The Boys of Sunset Ridge,2001,Drama,90,6
tt0292895,L'afrance,2001,"Drama, Romance",90,6.9
tt0293117,Déjala correr,2001,"Comedy, Fantasy, Drama",86,6.2
tt0293146,Face,2002,Drama,89,6.3
tt0293664,Treed Murray,2001,"Drama, Thriller",90,7.3
tt0295238,Personal Velocity - Il momento giusto,2002,"Drama, Romance",86,6.5
tt0295362,Chaos,2000,"Crime, Mystery, Thriller",90,6.6
tt0295526,Leaving Metropolis,2002,"Comedy, Drama, Romance",89,6.1
tt0295636,Stille Liebe,2001,Drama,90,6.9
tt0295661,"Tirana, année zéro",2001,Comedy,89,6.3
tt0295682,The Warrior,2001,"Adventure, Drama",86,6.7
tt0295700,Wrong Turn - Il bosco ha fame,2003,"Horror, Thriller",84,6.1
tt0295743,Vendredi soir,2002,"Drama, Romance",90,6.7
tt0295876,Beneath Clouds,2002,"Drama, Romance",90,7
tt0296166,Le donne vere hanno le curve,2002,"Comedy, Drama",90,6.8
tt0296619,I figli della pioggia,2003,"Animation, Adventure, Fantasy",90,6.8
tt0296625,Fais-moi des vacances,2002,"Comedy, Drama",86,6.1
tt0296707,Khaled,2001,Drama,85,7.1
tt0296915,Valentin,2002,"Comedy, Drama, Romance",86,7.6
tt0297038,Bruce Lee in G.O.D.: Shibôteki yûgi,2000,Biography,90,6.5
tt0297132,Garcea si oltenii,2001,Comedy,90,6
tt0297213,Furia,2002,"Action, Drama",83,7.3
tt0297403,South West 9,2001,Drama,90,6
tt0297753,La profezia di Kaena,2003,"Animation, Adventure, Family",85,6
tt0297856,I giorni di Nietzsche a Torino,2001,Drama,85,6.3
tt0297871,Eierdiebe,2003,"Comedy, Drama, Romance",87,6.8
tt0297876,Les enfants de l'amour,2002,Drama,90,6.6
tt0298337,Slipp Jimmy fri,2006,"Animation, Comedy",86,6
tt0298482,Nothing,2003,"Comedy, Fantasy",90,6.2
tt0298577,Tornando a casa,2001,Drama,88,6.1
tt0298786,Caramuru: A Invenção do Brasil,2001,"Comedy, Fantasy, Romance",85,6.5
tt0299594,Brève traversée,2001,"Comedy, Drama, Romance",84,6.8
tt0299854,L'uomo senza legge,2002,"Action, Crime, Drama",88,6.2
tt0300949,Apartment #5C,2002,Thriller,88,6.3
tt0301414,L'uomo del treno,2002,"Crime, Drama, Thriller",90,7.1
tt0301481,Jol,2001,Drama,85,6.7
tt0301978,Dieci,2002,Drama,89,7.5
tt0302361,Bookies,2003,"Comedy, Crime, Drama",88,6
tt0302758,Mari iyagi,2002,"Animation, Drama, Fantasy",86,6.6
tt0302886,Old School,2003,Comedy,88,7.1
tt0303374,Paradox Lake,2002,Drama,85,6.3
tt0303661,Anita & Me,2002,"Comedy, Drama",89,6.4
tt0304638,Rolling Kansas,2003,Comedy,89,6.2
tt0304907,La Vita che mi Uccide,2002,Drama,89,6.6
tt0305229,Al qods fee yom akhar,2002,"Drama, Comedy",90,6.4
tt0305882,The Nature of Nicholas,2002,"Drama, Horror, Romance",90,6.2
tt0305884,Ndeysaan,2001,Drama,90,6.8
tt0305999,The Rage in Placid Lake,2003,Comedy,89,6.9
tt0306097,Stratosphere Girl,2004,"Drama, Mystery",85,6.4
tt0306359,Love Song: Monrak Transistor,2001,"Comedy, Drama, Musical",90,7.3
